Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
QUESS,EQ,2016-07-12,317.00,500.00,509.30,480.00,502.00,503.10,496.81,16364151,81298.85,206046,4167383,25.47
QUESS,EQ,2016-07-13,503.10,503.00,507.45,462.00,468.75,467.70,485.41,2440691,11847.41,41331,613412,25.13
QUESS,EQ,2016-07-14,467.70,468.60,492.50,452.50,486.00,487.70,473.26,2381010,11268.45,44430,440942,18.52
QUESS,EQ,2016-07-15,487.70,487.00,497.90,475.15,489.10,491.45,488.21,1276616,6232.54,32266,249722,19.56
QUESS,EQ,2016-07-18,491.45,492.00,512.00,487.00,501.25,501.95,502.56,1506745,7572.25,31201,275712,18.30
QUESS,EQ,2016-07-19,501.95,502.35,507.35,490.00,493.60,495.05,498.15,669521,3335.23,14526,140900,21.04
QUESS,EQ,2016-07-20,495.05,495.05,507.70,490.90,493.50,496.30,499.78,756119,3778.96,15310,219633,29.05
QUESS,EQ,2016-07-21,496.30,496.90,499.45,486.40,487.55,487.90,492.73,331922,1635.49,8845,150943,45.48
QUESS,EQ,2016-07-22,487.90,490.00,492.80,481.00,483.00,482.80,486.24,329187,1600.64,6299,181388,55.10
QUESS,EQ,2016-07-25,482.80,485.85,495.05,475.10,483.95,481.95,485.87,296699,1441.58,7704,118880,40.07
QUESS,EQ,2016-07-26,481.95,485.85,496.90,482.80,491.00,489.90,490.75,356432,1749.18,8308,153621,43.10
QUESS,EQ,2016-07-27,489.90,494.70,531.90,491.10,528.00,523.75,515.95,1565742,8078.50,33225,415605,26.54
QUESS,EQ,2016-07-28,523.75,527.00,541.90,521.10,522.00,524.80,532.66,780663,4158.27,17410,242323,31.04
QUESS,EQ,2016-07-29,524.80,526.80,530.50,508.05,509.05,510.20,519.02,298546,1549.52,6784,116542,39.04
QUESS,EQ,2016-08-01,510.20,517.45,604.85,516.00,598.00,592.90,566.82,3669457,20799.24,81282,798235,21.75
QUESS,EQ,2016-08-02,592.90,598.00,618.80,580.15,602.00,602.50,605.01,1883855,11397.59,50854,337143,17.90
QUESS,EQ,2016-08-03,602.50,602.00,602.80,576.20,586.00,588.30,589.51,678231,3998.26,17963,149018,21.97
QUESS,EQ,2016-08-04,588.30,595.00,651.00,587.50,621.00,622.15,630.76,2289006,14438.18,57516,373188,16.30
QUESS,EQ,2016-08-05,622.15,626.00,632.00,613.25,622.80,621.30,622.37,476195,2963.71,13492,60605,12.73
QUESS,EQ,2016-08-08,621.30,625.75,625.75,556.25,561.00,559.05,577.27,1581862,9131.55,57824,802234,50.71
QUESS,EQ,2016-08-09,559.05,561.50,571.50,530.05,536.00,535.60,543.51,1375277,7474.74,46264,468136,34.04
QUESS,EQ,2016-08-10,535.60,539.70,556.00,536.25,551.00,550.30,549.02,1002765,5505.38,26061,333453,33.25
QUESS,EQ,2016-08-11,550.30,552.00,555.45,531.00,532.50,532.35,539.45,363157,1959.07,7348,155605,42.85
QUESS,EQ,2016-08-12,532.35,535.90,542.80,527.05,529.00,529.80,534.41,254952,1362.49,5647,97822,38.37
QUESS,EQ,2016-08-16,529.80,530.10,534.45,505.60,521.40,519.35,516.81,413017,2134.49,12489,176791,42.80
QUESS,EQ,2016-08-17,519.35,518.90,530.00,518.00,524.00,525.65,524.99,165209,867.33,4491,60769,36.78
QUESS,EQ,2016-08-18,525.65,528.00,557.35,521.00,544.00,543.80,545.47,489208,2668.47,12692,157457,32.19
QUESS,EQ,2016-08-19,543.80,544.90,561.00,536.35,541.65,542.50,548.74,305984,1679.06,8618,100804,32.94
QUESS,EQ,2016-08-22,542.50,546.40,573.70,543.90,571.00,569.45,560.74,608750,3413.53,17367,221641,36.41
