Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SETCO,EQ,2016-07-01,52.85,54.35,55.05,50.25,50.50,50.55,51.92,225900,117.29,3208,121050,53.59
SETCO,EQ,2016-07-04,50.55,52.95,52.95,50.50,51.10,51.30,51.44,87379,44.95,456,53712,61.47
SETCO,EQ,2016-07-05,51.30,50.80,51.15,49.15,49.40,49.50,49.94,62947,31.44,405,45519,72.31
SETCO,EQ,2016-07-07,49.50,48.25,50.45,48.25,48.60,48.75,49.18,48674,23.94,284,34499,70.88
SETCO,EQ,2016-07-08,48.75,49.75,50.00,48.40,49.50,49.30,49.20,43894,21.60,275,30173,68.74
SETCO,EQ,2016-07-11,49.30,49.50,53.50,49.20,49.75,49.70,51.79,729817,377.96,8224,326925,44.80
SETCO,EQ,2016-07-12,49.70,50.95,50.95,48.25,48.25,48.65,49.09,93810,46.05,677,61723,65.80
SETCO,EQ,2016-07-13,48.65,49.45,49.45,48.00,48.75,48.35,48.49,68089,33.02,558,38488,56.53
SETCO,EQ,2016-07-14,48.35,48.70,48.70,47.70,47.70,47.95,48.18,60607,29.20,330,49233,81.23
SETCO,EQ,2016-07-15,47.95,47.25,48.00,45.80,45.90,45.90,46.34,94813,43.94,558,63861,67.35
SETCO,EQ,2016-07-18,45.90,46.40,46.50,45.25,45.65,45.75,45.90,65898,30.25,407,43228,65.60
SETCO,EQ,2016-07-19,45.75,47.40,50.90,45.80,48.75,48.75,48.94,305653,149.57,1637,142004,46.46
SETCO,EQ,2016-07-20,48.75,49.00,50.45,48.50,48.90,48.70,49.55,396982,196.70,1863,218225,54.97
SETCO,EQ,2016-07-21,48.70,49.15,49.30,46.55,48.00,47.40,48.33,75492,36.49,528,51698,68.48
SETCO,EQ,2016-07-22,47.40,48.00,49.50,47.50,49.10,49.10,48.88,94207,46.05,675,57162,60.68
SETCO,EQ,2016-07-25,49.10,49.95,52.00,48.00,50.55,50.60,50.28,516527,259.68,2437,331379,64.16
